Variable,Description
CHILDID,CHILD IDENTIFICATION NUMBER
PARENTID,PARENT IDENTIFICATION NUMBER
PSUID,ORIGINAL SAMPLED PSU ID
S1_ID,FALL 2010 SCHOOL IDENTIFICATION NUMBER
S2_ID,SPRING 2011 SCHOOL IDENTIFICATION NUMBER
S3_ID,FALL 2011 SCHOOL IDENTIFICATION NUMBER
S4_ID,SPRING 2012 SCHOOL IDENTIFICATION NUMBER
S5_ID,FALL 2012 SCHOOL IDENTIFICATION NUMBER
S6_ID,SPRING 2013 SCHOOL IDENTIFICATION NUMBER
S7_ID,SPRING 2014 SCHOOL IDENTIFICATION NUMBER
S8_ID,SPRING 2015 SCHOOL IDENTIFICATION NUMBER
S9_ID,SPRING 2016 SCHOOL IDENTIFICATION NUMBER
T1_ID,FALL 2010 TEACHER IDENTIFICATION NUMBER
T2_ID,SPRING 2011 TEACHER IDENTIFICATION NUMB
T3_ID,FALL 2011 TEACHER IDENTIFICATION NUMBER
T4_ID,SPRING 2012 TEACHER IDENTIFICATION NUMBER
T5_ID,FALL 2012 TEACHER IDENTIFICATION NUMBER
T6_ID,SPRING 2013 TEACHER IDENTIFICATION NUMBER
T7_ID,SPRING 2014 TEACHER IDENTIFICATION NUMBER
T8R_ID,SPRING 2015 READING TEACHER IDENTIFICATION NUMBER
T8RCLASS,SPRING 2015 READING TEACHER CLASS LINK ID
T8M_ID,SPRING 2015 MATH TEACHER IDENTIFICATION NUMBER
T8MCLASS,SPRING 2015 MATH TEACHER CLASS LINK ID
T8S_ID,SPRING 2015 SCIENCE TEACHER IDENTIFICATION NUMBER
T8SCLASS,SPRING 2015 SCIENCE TEACHER CLASS LINK ID
T9R_ID,SPRING 2016 READING TEACHER IDENTIFICATION NUMBER
T9RCLASS,SPRING 2016 READING TEACHER CLASS LINK ID
T9M_ID,SPRING 2016 MATH TEACHER IDENTIFICATION NUMBER
T9MCLASS,SPRING 2016 MATH TEACHER CLASS LINK ID
T9S_ID,SPRING 2016 SCIENCE TEACHER IDENTIFICATION NUMBER
