Variable,Description
YEAR,GSS year for this respondent
ID,Respondent ID number
WRKSTAT,Labor force status
HRS1,Number of hours worked last week
HRS2,Number of hours usually work a week
EVWORK,Ever work as long as one year
OCC,R's census occupation code (1970)
PRESTIGE,R's occupational prestige score(1970)
WRKSLF,R self-emp or works for somebody
WRKGOVT,Govt or private employee
COMMUTE,Travel time to work
INDUSTRY,R's industry code (1970)
OCC80,R's census occupation code (1980)
PRESTG80,R's occupational prestige score(1980)
INDUS80,R's industry code (1980)
INDUS07,Industry code based on NAICS 2007
OCCONET,Occupation code based on O*Net
FOUND,Case was retrievable in 2012
OCC10,R's census occupation code (2010)
OCCINDV,R's occ/ind verbatim retrieved
OCCSTATUS,OCC10 coding status
OCCTAG,OCC10 coding tag
PRESTG10,R's occupational prestige score (2010)
PRESTG105PLUS,R's occupational prestige score using threshold method (2010)
INDUS10,R's industry code (NAICS 2007)
INDSTATUS,INDUS10 coding status
INDTAG,INDUS10 coding tag
MARITAL,Marital status
MARTYPE,Marital type
AGEWED,Age when first married
DIVORCE,Ever been divorced or separated
WIDOWED,Ever been widowed
SPWRKSTA,Spouse labor force status
SPHRS1,Number of hrs spouse worked last week
SPHRS2,No. of hrs spouse usually works a week
SPEVWORK,Spouse ever work as long as a year
COWRKSTA,Partner's labor force status
COWRKSLF,Partner self-emp. or works for somebody else
COEVWORK,Partner ever work as long as a year
COHRS1,Number of hours partner worked last week
COHRS2,No. of hours partner usually works a week
SPOCC,Spouse census occupation code (1970)
SPPRES,Spouse's occupational prestige score (1970)
SPWRKSLF,Spouse self-emp. or works for somebody
SPIND,Spouse's industry code (1970)
SPOCC80,Spouse census occupation code (1980)
SPPRES80,Spouse's occupational prestige score (1980)
SPIND80,Spouse's industry code (1980)
SPOCC10,Spouse census occupation code (2010)
SPOCCINDV,Spouse's occ/ind verbatim retrieved
SPOCCSTATUS,SPOCC10 coding status
SPOCCTAG,SPOCC10 coding tag
SPPRES10,Spouse occupational prestige score (2010)
SPPRES105PLUS,Spouse occupational prestige score using threshold method (2010)
SPIND10,Spouse's industry code (NAICS 2007)
SPINDSTATUS,SPIND10 coding status
SPINDTAG,SPIND10 coding tag
COOCC10,Partner's census occupation code (2010)
COIND10,Partner's industry code (2010)
PAOCC16,Father's census occupation code (1970)
PAPRES16,Father's occupational prestige score (1970)
PAWRKSLF,Father self-emp. or worked for somebody
PAIND16,Father's industry code (1970)
PAOCC80,Father's census occupation code (1980)
PAPRES80,Father's occupational prestige score (1980)
PAIND80,Father's industry code (1980)
PAOCC10,Father's census occupation code (2010)
PAOCCINDV,Father's occ/ind verbatim retrieved
PAOCCSTATUS,PAOCC10 coding status
PAOCCTAG,PAOCC10 coding tag
PAPRES10,Father's occupational prestige score (2010)
PAPRES105PLUS,Father's occupational prestige score using threshold method (2010)
PAIND10,Father's industry code (NAICS 2007)
PAINDSTATUS,PAIND10 coding status
PAINDTAG,PAIND10 coding tag
MAOCC80,Mothers census occupation code (1980)
MAPRES80,Mothers occupational prestige score (1980)
MAWRKSLF,Mother self-emp. or worked for somebody
MAIND80,Mothers industry code (1980)
MAOCC10,Mothers census occupation code (2010)
MAOCCINDV,Mothers occ/ind verbatim retrieved
MAOCCSTATUS,MAOCC10 coding status
MAOCCTAG,MAOCC10 coding tag
MAPRES10,Mothers occupational prestige score (2010)
MAPRES105PLUS,Mothers occupational prestige score using threshold method (2010)
MAIND10,Mothers industry code (NAICS 2007)
MAINDSTATUS,MAIND10 coding status
MAINDTAG,MAIND10 coding tag
SIBS,Number of brothers and sisters
CHILDS,Number of children
AGE,Age of respondent
AGEKDBRN,R's age when 1st child born
EDUC,Highest year of school completed
PAEDUC,"Highest year school completed, father"
MAEDUC,"Highest year school completed, mother"
SPEDUC,"Highest year school completed, spouse"
COEDUC,"Highest year school completed, partner"
CODEG,Partner's highest degree
DEGREE,R's highest degree
PADEG,Father's highest degree
MADEG,Mothers highest degree
SPDEG,Spouse's highest degree
MAJOR1,College major 1
MAJOR2,College major 2
DIPGED,"Diploma, ged, or other"
SPDIPGED,"Spouse diploma, ged, or other"
CODIPGED,"Partner diploma, ged, or other"
COSECTOR,Type of college partneR attended
WHENHS,When received hs degree
WHENCOL,When received college degree
SECTOR,Type of college respondent attended
EFTOTLT,Total number of students enrolled in college respondent attended
BARATE,Rate of BA degree earning in college respondent attended
GRADTOUNDER,Ratio of graduate students to undergraduate students in college respondent attended
VOEDCOL,Non-college postsecondary education (VOEDNME1)
VOEDNME1,Postsecondary institution attended for credit
VOEDNCOL,Non-college postsecondary education (VOEDNME2)
VOEDNME2,Postsecondary institution attended for credit
SPSECTOR,Type of college spouse attended
SPEFTOTLT,Total number of students enrolled in college spouse attended
SPBARATE,Rate of BA degree earning in college spouse attended
SPGRADTOUNDER,Ratio of graduate students to undergraduate students in college spouse attended
COBARATE,Rate of BA degree earning at college partneR attended
COGRADTOUNDER,Ratio of graduate to undergraduate students at college partneR attended
COEFTOTLT,Total number of students enrolled at college partneR attended
SEX,Respondents sex
RACE,Race of respondent
RES16,Type of place lived in when 16 yrs old
REG16,"Region of residence, age 16"
MOBILE16,Geographic mobility since age 16
FAMILY16,Living with parents when 16 yrs old
FAMDIF16,Reason not living with parents
MAWORK,Mothers employment since marriage
MAWKBABY,Mothers employment before first grade
MAWKBORN,Mothers employment after R was born
MAWK16,Mothers employment when R growing up
MAWRKGRW,Mothers employment when R was 16
INCOM16,R's family income when 16 yrs old
BORN,Was R born in this country
PARBORN,Were R's parents born in this country
GRANBORN,How many grandparents born outside U.S.
HOMPOP,Number of persons in household
BABIES,Household members less than 6 yrs old
PRETEEN,Household members 6 thru 12 yrs old
TEENS,Household members 13 thru 17 yrs old
ADULTS,Household members 18 yrs and older
UNRELAT,Number in household not related
EARNRS,How many in family earned money
INCOME,Total family income
RINCOME,Respondents income
INCOME72,Total family income
INCOME77,Total family income
RINCOM77,Respondents income
INCOME82,Total family income
RINCOM82,Respondents income
INCOME86,Total family income
