Variable,Description
ACCELI2,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R2
ACCELI4,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R4
ACCELI6,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R6
ACCELI8,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R8
ACTDTY1,MILITARY FULL-TIME ACTIVE DUTY - R1
ACTDTY2,MILITARY FULL-TIME ACTIVE DUTY - R2
ACTDTY3,MILITARY FULL-TIME ACTIVE DUTY - R3
ACTDTY4,MILITARY FULL-TIME ACTIVE DUTY - R4
ACTDTY5,MILITARY FULL-TIME ACTIVE DUTY - R5
ACTDTY6,MILITARY FULL-TIME ACTIVE DUTY - R6
ACTDTY7,MILITARY FULL-TIME ACTIVE DUTY - R7
ACTDTY8,MILITARY FULL-TIME ACTIVE DUTY - R8
ACTDTY9,MILITARY FULL-TIME ACTIVE DUTY - R9
ACTLIM1,ANY LIMITATION WORK/HOUSEWRK/SCHL-R1
ACTLIM3,ANY LIMITATION WORK/HOUSEWRK/SCHL-R3
ACTLIM5,ANY LIMITATION WORK/HOUSEWRK/SCHL-R5
ACTLIM7,ANY LIMITATION WORK/HOUSEWRK/SCHL-R7
ADACLS2,"SAQ 4WKS:ACCMP LES B/C PHY PRBS VR-12,R2"
ADACLS4,"SAQ 4WKS:ACCMP LES B/C PHY PRBS VR-12,R4"
ADACLS6,"SAQ 4WKS:ACCMP LES B/C PHY PRBS VR-12,R6"
ADACLS8,"SAQ 4WKS:ACCMP LES B/C PHY PRBS VR-12,R8"
ADAGE2,"SAQ: SURVEY AGE,R2"
ADAGE6,"SAQ: SURVEY AGE,R6"
ADAPPT4,"SAQ 12 MOS: # VISITS MED OFF FOR CARE,R4"
ADAPPT8,"SAQ 12 MOS: # VISITS MED OFF FOR CARE,R8"
ADAPPTRT6,"SAQ 12MOS: COUNSEL TRTMENT TELEPH APP,R6"
ADBLDS2,"SAQ 12 MTHS: AT HOME BLOOD STOOL TEST,R2"
ADBLDS6,"SAQ 12 MTHS: AT HOME BLOOD STOOL TEST,R6"
ADBMI2,SAQ: ADULT BODY MASS INDEX (>17)-R2
ADBMI6,ADULT BODY MASS INDEX (> 17)-R6
ADBNDN2,"SAQ: BONE DENSITY SCAN,R2"
ADBNDN6,"SAQ: BONE DENSITY SCAN,R6"
ADBPCK2,"SAQ 24 MTHS: DR CHECK BLOOD PRESSURE,R2"
ADBPCK6,"SAQ 24 MTHS: DR CHECK BLOOD PRESSURE,R6"
ADBRST2,"SAQ: HAVE BRST CANCER\BRST REMOVED,R2"
ADBRST6,"SAQ: HAVE BRST CANCER\BRST REMOVED,R6"
ADBRTC2,"SAQ 12 MTHS: BIRTH CONTROL COUNSELING,R2"
ADBRTC6,"SAQ 12MOS:BIRTH CONTRL COUNSLING/INFO,R6"
ADCHLC2,"SAQ 5 YRS: DR CHECK CHOLESTEROL,R2"
ADCHLC6,"SAQ 5 YRS: DR CHECK CHOLESTEROL,R6"
ADCLIM2,"SAQ: HLTH LMTS CLIMBING STAIRS VR-12,R2"
ADCLIM4,"SAQ: HLTH LMTS CLIMBING STAIRS VR-12,R4"
ADCLIM6,"SAQ: HLTH LMTS CLIMBING STAIRS VR-12,R6"
ADCLIM8,"SAQ: HLTH LMTS CLIMBING STAIRS VR-12,R8"
ADCLNS2,"SAQ 10 YRS: HAD COLONOSCOPY,R2"
ADCLNS6,"SAQ 10 YRS: HAD COLONOSCOPY,R6"
ADCMPM2,"SAQ: DATE COMPLETED - MONTH,R2"
ADCMPM4,"SAQ: DATE COMPLETED - MONTH,R4"
ADCMPM6,"SAQ: DATE COMPLETED - MONTH,R6"
ADCMPM8,"SAQ: DATE COMPLETED - MONTH,R8"
ADCMPY2,"SAQ: DATE COMPLETED - YEAR,R2"
ADCMPY4,"SAQ: DATE COMPLETED - YEAR,R4"
ADCMPY6,"SAQ: DATE COMPLETED - YEAR,R6"
ADCMPY8,"SAQ: DATE COMPLETED - YEAR,R8"
ADCOLN2,"SAQ: HAD COLON CANCER/COLON REMOVED,R2"
ADCOLN6,"SAQ: HAD COLON CANCER/COLON REMOVED,R6"
ADDAYA2,"SAQ: HLTH LIMITS MOD ACTIVITIES VR-12,R2"
ADDAYA4,"SAQ: HLTH LIMITS MOD ACTIVITIES VR-12,R4"
ADDAYA6,"SAQ: HLTH LIMITS MOD ACTIVITIES VR-12,R6"
ADDAYA8,"SAQ: HLTH LIMITS MOD ACTIVITIES VR-12,R8"
ADDPRS2,"SAQ 2WKS:FELT DOWN/DEPRESSED/HOPELESS,R2"
ADDPRS4,"SAQ 2WKS:FELT DOWN/DEPRESSED/HOPELESS,R4"
ADDPRS6,"SAQ 2WKS:FELT DOWN/DEPRESSED/HOPELESS,R6"
ADDPRS8,"SAQ 2WKS:FELT DOWN/DEPRESSED/HOPELESS,R8"
ADDSCU2,"SAQ: DISCUSS ASPIRIN PREVENTIVE USE,R2"
ADDSCU6,"SAQ: DISCUSS ASPIRIN PREVENTIVE USE,R6"
ADEFRT2,"SAQ 30DAYS:HOW OFTN EVRYTHNG AN EFFRT,R2"
ADEFRT4,"SAQ 30DAYS:HOW OFTN EVRYTHNG AN EFFRT,R4"
ADEFRT6,"SAQ 30DAYS:HOW OFTN EVRYTHNG AN EFFRT,R6"
ADEFRT8,"SAQ 30DAYS:HOW OFTN EVRYTHNG AN EFFRT,R8"
ADEMLS2,"SAQ 4WKS:ACCMP LES B/C MNT PRBS VR-12,R2"
ADEMLS4,"SAQ 4WKS:ACCMP LES B/C MNT PRBS VR-12,R4"
ADEMLS6,"SAQ 4WKS:ACCMP LES B/C MNT PRBS VR-12,R6"
ADEMLS8,"SAQ 4WKS:ACCMP LES B/C MNT PRBS VR-12,R8"
ADENGY2,"SAQ 4WKS: HAD A LOT OF ENERGY VR-12,R2"
ADENGY4,"SAQ 4WKS: HAD A LOT OF ENERGY VR-12,R4"
ADENGY6,"SAQ 4WKS: HAD A LOT OF ENERGY VR-12,R6"
ADENGY8,"SAQ 4WKS: HAD A LOT OF ENERGY VR-12,R8"
ADEXPL4,"SAQ 12MOS: DR EXPLAINED SO UNDERSTOOD,R4"
ADEXPL8,"SAQ 12MOS: DR EXPLAINED SO UNDERSTOOD,R8"
ADEZUN4,"SAQ 12MOS: DR GIVEN INSTR. EZ UNDRSTD,R4"
ADEZUN8,"SAQ 12MOS: DR GIVEN INSTR. EZ UNDRSTD,R8"
ADFFRM4,"SAQ 12MOS: HAD TO FILL OUT/SIGN FORMS,R4"
ADFFRM8,"SAQ 12MOS: HAD TO FILL OUT/SIGN FORMS,R8"
ADFHLP4,"SAQ 12MOS: OFFRD HELP FILLING FORMS,R4"
ADFHLP8,"SAQ 12MOS: OFFRD HELP FILLING FORMS,R8"
ADFLST2,"SAQ 12 MTHS: FLU VACCINATION,R2"
ADFLST6,"SAQ 12 MTHS: FLU VACCINATION,R6"
ADGENH2,"SAQ: HEALTH IN GENERAL VR-12,R2"
ADGENH4,"SAQ: HEALTH IN GENERAL VR-12,R4"
ADGENH6,"SAQ: HEALTH IN GENERAL VR-12,R6"
ADGENH8,"SAQ: HEALTH IN GENERAL VR-12,R8"
ADGRPTRT6,"SAQ 12MOS:COUNSL TRTMNT IN PERS GROUP,R6"
ADHDADY1,ADHD/ADD DIAGNOSIS (5-17) 18
ADHDADY2,ADHD/ADD DIAGNOSIS (5-17) 19
ADHDADY3,ADHD/ADD DIAGNOSIS (5-17) 20
ADHDADY4,ADHD/ADD DIAGNOSIS (5-17) 21
ADHDAGY1,AGE OF DIAGNOSIS-ADHD/ADD 18
ADHDAGY2,AGE OF DIAGNOSIS-ADHD/ADD 19
ADHDAGY3,AGE OF DIAGNOSIS-ADHD/ADD 20
ADHDAGY4,AGE OF DIAGNOSIS-ADHD/ADD 21
ADHECR4,"SAQ 12 MOS: RATING OF HEALTH CARE,R4"
ADHECR8,"SAQ 12 MOS: RATING OF HEALTH CARE,R8"
ADHOPE2,"SAQ 30 DAYS: HOW OFTEN FELT HOPELESS,R2"
ADHOPE4,"SAQ 30 DAYS: HOW OFTEN FELT HOPELESS,R4"
ADHOPE6,"SAQ 30 DAYS: HOW OFTEN FELT HOPELESS,R6"
ADHOPE8,"SAQ 30 DAYS: HOW OFTEN FELT HOPELESS,R8"
ADILCR4,"SAQ 12MOS:ILL/INJRY NEEDING IMMD CARE,R4"
ADILCR8,"SAQ 12MOS:ILL/INJRY NEEDING IMMD CARE,R8"
ADILWW4,"SAQ 12MOS:GOT CARE WHEN NEEDD ILL/INJ,R4"
ADILWW8,"SAQ 12MOS:GOT CARE WHEN NEEDD ILL/INJ,R8"
ADINSA4,"SAQ: DO NOT NEED HEALTH INSURANCE,R4"
ADINSA8,"SAQ: DO NOT NEED HEALTH INSURANCE,R8"
ADINSB4,"SAQ: HEALTH INSURANCE NOT WORTH COST,R4"
ADINSB8,"SAQ: HEALTH INSURANCE NOT WORTH COST,R8"
ADINST4,"SAQ 12 MOS: DR GAVE SPCIFC INSTRCTNS,R4"
ADINST8,"SAQ 12 MOS: DR GAVE SPCIFC INSTRCTNS,R8"
ADINTR2,"SAQ 2 WKS: LITTLE INTEREST IN THINGS,R2"
ADINTR4,"SAQ 2 WKS: LITTLE INTEREST IN THINGS,R4"
ADINTR6,"SAQ 2 WKS: LITTLE INTEREST IN THINGS,R6"
ADINTR8,"SAQ 2 WKS: LITTLE INTEREST IN THINGS,R8"
ADKALC2,"SAQ 12MTHS: ASKED ALCOHOL CONSUMPTION,R2"
ADKALC6,"SAQ 12MTHS: ASKED ALCOHOL CONSUMPTION,R6"
ADLANG2,"SAQ: LANGUAGE OF SAQ INTERVIEW,R2"
ADLANG4,"SAQ: LANGUAGE OF SAQ INTERVIEW,R4"
ADLANG6,"SAQ: LANGUAGE OF SAQ INTERVIEW,R6"
ADLANG8,"SAQ: LANGUAGE OF SAQ INTERVIEW,R8"
ADLHLP1,ADL SCREENER-R1
ADLHLP3,ADL SCREENER-R3
ADLHLP5,ADL SCREENER-R5
ADLHLP7,ADL SCREENER-R7
ADLIST4,"SAQ 12 MOS: DOCTOR LISTENED TO YOU,R4"
ADLIST8,"SAQ 12 MOS: DOCTOR LISTENED TO YOU,R8"
ADMDVT2,"SAQ: LAST TIME DR VISIT,R2"
ADMDVT6,"SAQ: LAST TIME DR VISIT,R6"
ADMMGR2,"SAQ 2 YRS: HAD MAMMOGRAM,R2"
ADMMGR6,"SAQ 2 YRS: HAD MAMMOGRAM,R6"
ADMNTRT6,"SAQ 12MOS:GET COUNSL TRTMENT MEDICINE,R6"
ADMOOD2,"SAQ 12 MTHS: DR ASK ANXIOUS/DEPRSSED,R2"
ADMOOD6,"SAQ 12 MTHS: DR ASK ANXIOUS/DEPRSSED,R6"
ADMWCF2,"SAQ 4WKS:WORK LMT B/C MNT PROBS VR-12,R2"
ADMWCF4,"SAQ 4WKS:WORK LMT B/C MNT PROBS VR-12,R4"
ADMWCF6,"SAQ 4WKS:WORK LMT B/C MNT PROBS VR-12,R6"
ADMWCF8,"SAQ 4WKS:WORK LMT B/C MNT PROBS VR-12,R8"
ADNERV2,"SAQ 30 DAYS: HOW OFTEN FELT NERVOUS,R2"
ADNERV4,"SAQ 30 DAYS: HOW OFTEN FELT NERVOUS,R4"
ADNERV6,"SAQ 30 DAYS: HOW OFTEN FELT NERVOUS,R6"
ADNERV8,"SAQ 30 DAYS: HOW OFTEN FELT NERVOUS,R8"
ADNOAP2,"SAQ: CAN'T TAKE ASPRIN FOR MED REASON,R2"
ADNOAP6,"SAQ: CAN'T TAKE ASPRIN FOR MED REASON,R6"
ADNSMK4,"SAQ 12MOS: DR ADVISED TO QUIT SMOKING,R4"
ADNSMK8,"SAQ 12MOS: DR ADVISED TO QUIT SMOKING,R8"
ADNUMDRK6,"SAQ 12MOS: NUMBER DRINKS TYPICAL DAY,R6"
ADOFTALC6,"SAQ 12MOS:ASKED HOW MUCH/OFTN ALCOHOL,R6"
ADOFTB2,"SAQ 12 MTHS: HOW OFTEN USE TOBACCO,R2"
ADOFTB6,"SAQ 12 MTHS: HOW OFTEN USE TOBACCO,R6"
ADONLTRT6,"SAQ 12 MTHS: COUNSEL TRTMENT ONLINE,R6"
ADOSTP2,"SAQ: DX WITH OSTEOPOROSIS,R2"
ADOSTP6,"SAQ: DX WITH OSTEOPOROSIS,R6"
ADOVER4,"SAQ: CAN OVERCOME ILLS W/O MED HELP,R4"
