Variable,Description
YEAR,YEAR IN WHICH DATA WAS COLLECTED
COUTYP2,COUNTY METRO/NONMETRO STATUS (3-LEVEL)
ALCAFU,RC-ALCOHOL AGE OF FIRST USE - CATEGORIZED RECODE
ANYEDUC3,RC-YTH HAD ANY DRUG OR ALCOHOL EDUCATION IN SCHOOL
DRPRVME3,RC-YTH SEEN ALC OR DRUG PREVENTION MESSAGE OUTSIDE SCHOOL
GRPCNSL2,RC-PARTICIPATED IN PROGRAM TO HELP SUBSTANCE USE
INHOSPYR,STAYED OVERNIGHT AS INPNT IN HOSP PAST 12 MOS
LASTTXSP,LAST/CURRENT TRMT AT SPECIALTY FACILITY - PST YR
MJAFU,RC-MARIJUANA AGE OF FIRST USE - CATEGORIZED RECODE
MVIN5YR2,NUMBER OF TIMES YOUTH MOVED IN PST 5 YRS
NDSSANSP,RC-NDSS SCORE
PRALDLY2,RC-YTH THINK: PARNTS FEEL ABT YTH DRK 1-2 ALC BEV/DAY
PRBSOLV2,RC-PARTICIPATED IN PRBSLV/COMMSKILL/SELFESTEEM GROUP
PREGNANT,ARE YOU PREGNANT
PREGPGM2,RC-PARTICIPATED IN PREG/STD PREVENTION PROGRAM
PREVIOL2,RC-PARTICIPATED IN VIOLENCE PREVENTION PROGRAM
PRMJEVR2,RC-YTH THINK: PARENTS FEEL ABT YTH TRY MARIJUANA
PRPKCIG2,RC-YTH THINK: PARENTS FEEL ABT YTH SMOKE PACK CIG/DAY
PRTALK3,RC-TALKED WITH PARENT ABOUT DANGER TOB/ALC/DRG
PRVDRGO2,RC-PARTICIPATED IN SUBSTANCE PREV PROGRAM OUTSIDE SCHOOL
VEREP,ANALYSIS REPLICATE
VESTR,ANALYSIS STRATUM
YFLADLY2,RC-HOW YTH FEELS: PEERS DRNK 1-2 ALC BEV/DAY
YFLPKCG2,RC-HOW YTH FEELS: PEERS SMOKE PACK/DAY CIG
YFLTMRJ2,RC-HOW YTH FEELS: PEERS TRY MARIJUANA
YOATTAK2,RC-YOUTH ATTACKED WITH INTENT TO SERIOUSLY HARM
YOFIGHT2,RC-YOUTH HAD SERIOUS FIGHT AT SCHOOL/WORK
YOGRPFT2,RC-YOUTH FOUGHT WITH GROUP VS OTHER GROUP
YOHGUN2,RC-YOUTH CARRIED A HANDGUN
YOSELL2,RC-YOUTH SOLD ILLEGAL DRUGS
YOSTOLE2,RC-YOUTH STOLE/TRIED TO STEAL ITEM >$50
QUARTER,QUARTER INDICATOR
PDEN90,POPULATION DENSITY
IRSEX,GENDER - IMPUTATION REVISED
CATAGE,RC-AGE CATEGORY
CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS)
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS)
SERVICE,EVER BEEN IN THE US ARMED FORCES
MILSTAT,CURRENT MILITARY STATUS
HEALTH,OVERALL HEALTH
INHEVER,EVER USED INHALANTS
ANLEVER,EVER USED PAIN RELIEVERS NONMEDICALLY
TRNEVER,EVER USED TRANQUILIZERS NONMEDICALLY
STMEVER,EVER USED STIMULANTS NONMEDICALLY
SEDEVER,EVER USED SEDATIVES NONMEDICALLY
LSD,"EVER USED LSD (""ACID"")"
PCP,"EVER USED PCP (""ANGEL DUST,"" PHENCYCLIDINE)"
PEYOTE,EVER USED PEYOTE
MESC,EVER USED MESCALINE
PSILCY,EVER USED PSILOCYBIN (MUSHROOMS)
ECSTASY,"EVER USED ""ECSTASY"" (MDMA)"
HALNOLST,EVER USED OTHER HALLUCINOGEN
HALNEWA,OTHER HALLUCINOGEN - SPECIFY 1
HALNEWB,OTHER HALLUCINOGEN - SPECIFY 2
HALNEWC,OTHER HALLUCINOGEN - SPECIFY 3
HALNEWD,OTHER HALLUCINOGEN - SPECIFY 4
HALNEWE,OTHER HALLUCINOGEN - SPECIFY 5
AMYLNIT,"EVER INHALED AMYL NITRITE, ""POPPERS,"" RUSH, ETC."
